"GEOGRAPHY_CODE","C2021_HIQUAL_8_NAME","OBS_VALUE"
"E02000888","Other qualifications",197
"E02000889","Total: All usual residents aged 16 years and over",7442
"E02000889","No qualifications",885
"E02000889","Level 1 and entry level qualifications",407
"E02000889","Level 2 qualifications",528
"E02000889","Apprenticeship",147
"E02000889","Level 3 qualifications",844
"E02000889","Level 4 qualifications or above",4438
"E02000889","Other qualifications",193
"E02000890","Total: All usual residents aged 16 years and over",5171
"E02000890","No qualifications",450
"E02000890","Level 1 and entry level qualifications",197
"E02000890","Level 2 qualifications",297
"E02000890","Apprenticeship",43
"E02000890","Level 3 qualifications",490
"E02000890","Level 4 qualifications or above",3595
"E02000890","Other qualifications",99
"E02000893","Total: All usual residents aged 16 years and over",5982
"E02000893","No qualifications",1039
"E02000893","Level 1 and entry level qualifications",403
"E02000893","Level 2 qualifications",512
"E02000893","Apprenticeship",143
"E02000893","Level 3 qualifications",823
"E02000893","Level 4 qualifications or above",2895
"E02000893","Other qualifications",167
"E02000894","Total: All usual residents aged 16 years and over",9017
"E02000894","No qualifications",1013
"E02000894","Level 1 and entry level qualifications",547
"E02000894","Level 2 qualifications",618
"E02000894","Apprenticeship",169
"E02000894","Level 3 qualifications",1094
"E02000894","Level 4 qualifications or above",5318
"E02000894","Other qualifications",258
"E02006853","Total: All usual residents aged 16 years and over",9115
"E02006853","No qualifications",1061
"E02006853","Level 1 and entry level qualifications",498
"E02006853","Level 2 qualifications",624
"E02006853","Apprenticeship",165
"E02006853","Level 3 qualifications",975
"E02006853","Level 4 qualifications or above",5556
"E02006853","Other qualifications",236
"E02006854","Total: All usual residents aged 16 years and over",6208
"E02006854","No qualifications",548
"E02006854","Level 1 and entry level qualifications",256
"E02006854","Level 2 qualifications",325
"E02006854","Apprenticeship",100
"E02006854","Level 3 qualifications",589
"E02006854","Level 4 qualifications or above",4206
"E02006854","Other qualifications",184
"E02006918","Total: All usual residents aged 16 years and over",6336
"E02006918","No qualifications",1183
"E02006918","Level 1 and entry level qualifications",445
"E02006918","Level 2 qualifications",647
"E02006918","Apprenticeship",159
"E02006918","Level 3 qualifications",794
"E02006918","Level 4 qualifications or above",2914
"E02006918","Other qualifications",194
"E02006921","Total: All usual residents aged 16 years and over",5550
"E02006921","No qualifications",1528
"E02006921","Level 1 and entry level qualifications",496
